2026 Rank,Previous Rank,Institution Name,Country/Territory,Region,Size,Focus,Research,Status,AR SCORE,AR RANK,ER SCORE,ER RANK,FSR SCORE,FSR RANK,CPF SCORE,CPF RANK,IFR SCORE,IFR RANK,ISR SCORE,ISR RANK,ISD SCORE,ISD RANK,IRN SCORE,IRN RANK,EO SCORE,EO RANK,SUS SCORE,SUS RANK,Overall SCORE
1001,1001,university of ioannina,Greece,Europe,XL,FC,HI,,9.0,701,6.0,701,2.0,801,32.0,562,2.0,801,8.0,801,12.0,801,56.0,757,4.0,801,37.0,801,0.0
530,596,university of iowa,United States of America,Americas,L,FC,VH,Public,26.0,498,16.0,701,50.0,383,27.0,614,40.0,496,9.0,801,14.0,801,69.0,555,47.0,373,61.0,480,31.0
1001,0,university of isfahan,Iran (Islamic Republic of),Asia,L,CO,VH,Public,8.0,701,11.0,701,5.0,801,31.0,579,0.0,0,3.0,801,2.0,801,53.0,798,5.0,801,28.0,801,0.0
308,312,university of johannesburg,South Africa,Africa,L,CO,VH,Public,26.0,496,26.0,523,47.0,424,45.0,410,99.0,136,60.0,342,64.0,310,99.0,14,70.0,215,75.0,241,45.0
324,368,university of jordan,Jordan,Asia,XL,FC,HI,Public,48.0,239,60.0,194,29.0,656,7.0,801,34.0,545,65.0,309,68.0,285,69.0,543,90.0,105,64.0,420,43.0
498,489,university of jyväskylä,Finland,Europe,M,FO,VH,Public,23.0,539,14.0,701,88.0,112,21.0,702,51.0,435,6.0,801,12.0,801,84.0,269,14.0,801,71.0,308,32.0
465,452,university of kansas,United States of America,Americas,L,FC,VH,Public,18.0,697,23.0,582,92.0,97,14.0,801,79.0,301,13.0,801,19.0,786,88.0,210,43.0,409,62.0,454,34.0
1001,1001,university of karachi,Pakistan,Asia,XL,CO,HI,Public,15.0,701,19.0,676,2.0,801,10.0,801,5.0,801,1.0,801,1.0,801,48.0,801,51.0,332,31.0,801,0.0
397,380,university of kent,United Kingdom,Europe,L,CO,VH,Public,20.0,607,14.0,701,16.0,801,58.0,297,96.0,163,49.0,414,54.0,381,88.0,202,44.0,404,66.0,387,38.0
781,791,university of kentucky,United States of America,Americas,L,FC,VH,Public,15.0,701,15.0,701,19.0,801,32.0,561,18.0,739,6.0,801,5.0,801,77.0,401,24.0,651,60.0,509,0.0
1201,0,university of kerbala,Iraq,Asia,L,FC,HI,Public,13.0,701,15.0,701,35.0,560,2.0,801,2.0,801,2.0,801,2.0,801,14.0,801,6.0,801,21.0,801,0.0
1201,1001,university of khartoum,Sudan,Africa,L,FO,HI,Public,9.0,701,7.0,701,8.0,801,5.0,801,0.0,0,2.0,801,2.0,801,54.0,788,85.0,137,23.0,801,0.0
697,611,university of klagenfurt,Austria,Europe,S,CO,VH,Public,7.0,701,6.0,701,57.0,318,16.0,777,98.0,138,95.0,127,95.0,108,44.0,801,14.0,801,36.0,801,25.0
1201,1201,university of kufa,Iraq,Asia,XL,FC,HI,Public,7.0,701,33.0,433,32.0,607,2.0,801,0.0,0,1.0,801,1.0,801,26.0,801,6.0,801,16.0,801,0.0
558,587,university of kwazulu-natal,South Africa,Africa,XL,FC,VH,Public,18.0,682,14.0,701,7.0,801,45.0,420,29.0,591,2.0,801,7.0,801,96.0,62,79.0,163,63.0,441,30.0
1001,1001,university of lagos,Nigeria,Africa,XL,CO,HI,,9.0,701,17.0,701,3.0,801,5.0,801,0.0,0,0.0,0,0.0,0,46.0,801,90.0,103,37.0,801,0.0
951,951,university of lahore,Pakistan,Asia,L,CO,VH,Private not for Profit,18.0,685,23.0,574,14.0,801,9.0,801,8.0,801,6.0,801,10.0,801,76.0,415,3.0,801,62.0,454,0.0
801,781,university of latvia,Latvia,Europe,M,FC,VH,Public,15.0,701,23.0,581,10.0,801,10.0,801,16.0,775,10.0,801,16.0,801,67.0,595,92.0,89,56.0,579,0.0
212,224,university of lausanne,Switzerland,Europe,L,FO,VH,Public,37.0,322,40.0,340,49.0,393,69.0,223,100.0,97,67.0,296,50.0,415,84.0,286,61.0,264,70.0,313,55.0
86,82,university of leeds,United Kingdom,Europe,XL,FC,VH,Public,82.0,90,82.0,98,40.0,512,49.0,380,90.0,224,96.0,108,97.0,93,99.0,13,63.0,250,76.0,219,72.0
326,285,university of leicester,United Kingdom,Europe,L,FC,VH,Public,30.0,418,18.0,701,40.0,502,44.0,426,91.0,220,91.0,162,91.0,137,91.0,155,31.0,535,81.0,158,43.0
379,396,university of liege,Belgium,Europe,L,FC,VH,Public,24.0,523,17.0,701,11.0,801,63.0,259,62.0,375,66.0,303,69.0,277,95.0,78,33.0,517,80.0,175,40.0
401,421,university of limerick,Ireland,Europe,L,FC,HI,Public,28.0,453,37.0,390,24.0,758,35.0,527,93.0,198,48.0,417,53.0,385,72.0,506,15.0,801,76.0,223,37.0
801,851,university of lincoln,United Kingdom,Europe,L,CO,VH,Public,8.0,701,9.0,701,13.0,801,15.0,801,85.0,259,74.0,260,75.0,234,74.0,478,6.0,801,64.0,427,0.0
230,260,university of lisbon,Portugal,Europe,XL,FC,VH,Public,57.0,193,46.0,289,16.0,801,51.0,367,14.0,801,59.0,350,63.0,317,98.0,17,97.0,54,79.0,184,53.0
147,165,university of liverpool,United Kingdom,Europe,L,FC,VH,Public,61.0,171,49.0,264,37.0,538,62.0,276,92.0,206,91.0,157,92.0,133,97.0,39,48.0,364,92.0,42,63.0
535,596,university of ljubljana,Slovenia,Europe,XL,FC,VH,Public,30.0,414,19.0,689,46.0,431,11.0,801,7.0,801,18.0,760,14.0,801,86.0,241,98.0,41,54.0,619,31.0
1001,1001,university of louisville,United States of America,Americas,L,FC,HI,Public,4.0,701,4.0,701,44.0,454,13.0,801,22.0,691,6.0,801,11.0,801,60.0,700,10.0,801,40.0,801,0.0
381,355,university of luxembourg,Luxembourg,Europe,M,FO,VH,,13.0,701,8.0,701,87.0,118,40.0,479,100.0,19,100.0,33,100.0,21,68.0,566,59.0,277,42.0,801,39.0
285,245,university of macau,"Macao SAR, China",Asia,L,CO,VH,Public,19.0,660,18.0,701,12.0,801,100.0,21,100.0,25,100.0,30,100.0,44,55.0,770,57.0,294,52.0,658,47.0
1001,1001,university of malaysia sabah (ums),Malaysia,Asia,L,FC,HI,Public,22.0,565,16.0,701,15.0,801,6.0,801,24.0,663,12.0,801,15.0,801,33.0,801,5.0,801,48.0,757,0.0
741,751,university of malta,Malta,Europe,M,FC,VH,Public,9.0,701,7.0,701,48.0,408,10.0,801,33.0,551,42.0,472,48.0,436,77.0,409,98.0,40,38.0,801,0.0
643,661,university of manitoba,Canada,Americas,L,FC,VH,Public,19.0,643,20.0,657,32.0,604,23.0,675,0.0,0,68.0,287,72.0,257,70.0,532,40.0,442,56.0,582,27.0
901,901,university of maribor,Slovenia,Europe,L,FC,HI,Public,11.0,701,16.0,701,36.0,551,13.0,801,2.0,801,27.0,623,28.0,635,67.0,580,41.0,422,50.0,705,0.0
951,1001,university of massachusetts - boston,United States of America,Americas,L,FC,HI,Public,14.0,701,24.0,571,14.0,801,23.0,668,7.0,801,27.0,629,20.0,759,35.0,801,7.0,801,49.0,719,0.0
771,801,university of maynooth,Ireland,Europe,L,FO,VH,Public,17.0,701,13.0,701,14.0,801,21.0,699,91.0,216,32.0,566,38.0,514,45.0,801,16.0,801,52.0,656,0.0
1201,1201,university of memphis,United States of America,Americas,L,CO,VH,Public,4.0,701,4.0,701,19.0,801,14.0,801,3.0,801,19.0,737,15.0,801,42.0,801,15.0,801,35.0,801,0.0
741,751,university of messina,Italy,Europe,L,FC,VH,Public,13.0,701,3.0,701,19.0,801,56.0,323,1.0,801,18.0,767,24.0,706,79.0,375,2.0,801,62.0,467,0.0
314,324,university of miami,United States of America,Americas,L,FC,VH,Private not for Profit,25.0,521,40.0,338,58.0,312,48.0,386,88.0,238,25.0,660,31.0,598,85.0,251,60.0,274,65.0,407,44.0
45,44,university of michigan-ann arbor,United States of America,Americas,XL,FC,VH,Public,99.0,26,99.0,30,86.0,127,55.0,334,74.0,320,56.0,372,60.0,339,96.0,59,99.0,26,77.0,210,85.0
276,285,university of milan,Italy,Europe,XL,FC,VH,Public,66.0,152,27.0,507,10.0,801,57.0,313,11.0,801,13.0,801,19.0,772,85.0,252,63.0,246,76.0,219,48.0
542,513,university of milano-bicocca,Italy,Europe,L,FO,VH,Public,29.0,438,19.0,677,5.0,801,56.0,317,7.0,801,8.0,801,14.0,801,81.0,335,15.0,801,54.0,630,30.0
566,611,university of minho,Portugal,Europe,L,FC,VH,Public,22.0,564,17.0,701,28.0,676,39.0,485,21.0,694,26.0,645,32.0,589,84.0,284,16.0,801,68.0,353,29.0
210,203,university of minnesota (system),United States of America,Americas,XL,FC,VH,Public,69.0,138,49.0,257,37.0,540,49.0,378,7.0,801,15.0,801,22.0,741,91.0,153,67.0,231,91.0,54,55.0
1201,1201,university of miskolc,Hungary,Europe,M,FO,VH,Private not for Profit,9.0,701,10.0,701,20.0,801,5.0,801,3.0,801,6.0,801,5.0,801,25.0,801,16.0,801,28.0,801,0.0
